ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
373,2015 MAR 06,UNKNOWN,0,2,Kharkiv,KHARKIV,UKRAINE,A device against the car of a Volunteer Battalion Commander,,Against Andrey Yangolenko. Another magnetically-attached IED failed,A device against the car of a Volunteer Battalion Commander Against Andrey Yangolenko. Another magnetically-attached IED failed
152,2015 JUL 20,UNKNOWN,0,1,Odessa,ODESSA,UKRAINE,"A device blew up at the door of Caf_ ""Liberty""",,Richelieu Street (04:00 AM),"A device blew up at the door of Caf_ ""Liberty"" Richelieu Street (04:00 AM)"
162,2015 JUL 14,UNKNOWN,0,1,Lviv,LVIV,UKRAINE,A device blew up in the entrance to an Office of District Police,,Plugova Street,A device blew up in the entrance to an Office of District Police Plugova Street
556,2014 JUL 29,VOIED,1,8,Berestove,DONETSK,UKRAINE,A device blew up killing 1 woman & injuring 8 children,,,A device blew up killing 1 woman & injuring 8 children 
262,2015 MAY 06,CACHE/FOUND,0,0,Stanytsia Luhanska,LUHANSK ,UKRAINE,A device composed by two ATGM and a hand grenade was found,,,A device composed by two ATGM and a hand grenade was found 
101,2015 SEP 03,UNKNOWN,0,2,Dzerzhinsk,DONETSK,UKRAINE,A device detonated affecting two persons,,,A device detonated affecting two persons 
425,2014 DEC 29,UNKNOWN,0,2,Starobelsk,LUHANSK,UKRAINE,A device detonated during an antiterrorism operation,,"Near the city park, hidden inside a garbage bin","A device detonated during an antiterrorism operation Near the city park, hidden inside a garbage bin"
78,2015 SEP 28,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device detonated in central railway station,,Not confirmed,A device detonated in central railway station Not confirmed
437,2014 DEC 23,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device detonated in railway after the pass of a freight train,,Zastava-1 station,A device detonated in railway after the pass of a freight train Zastava-1 station
190,2015 JUN 25,UNKNOWN,0,1,Shyroka,LUHANSK ,UKRAINE,A device detonated when trying to open an abandoned bag,,Possible VOIED,A device detonated when trying to open an abandoned bag Possible VOIED
382,2015 FEB 14,UNKNOWN,0,0,Donetsk,DONETSK,UKRAINE,A device was blown up 100 m away from DPR leader residence,,Against Aleksandr Zaharchenko before a press conference,A device was blown up 100 m away from DPR leader residence Against Aleksandr Zaharchenko before a press conference
209,2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up against a billboard with patriotic message,,(200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St,A device was blown up against a billboard with patriotic message (200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St
58,2015 OCT 17,UNKNOWN,0,0,Kherson,KHERSON,UKRAINE,A device was blown up against a caf_,,,A device was blown up against a caf_ 
178,2015 JUL 02,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up against a restaurant,,"""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). ","A device was blown up against a restaurant ""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). "
68,2015 OCT 07,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA,UKRAINE,A device was blown up against an enlistment office,,200 gr TNT equivalent,A device was blown up against an enlistment office 200 gr TNT equivalent
344,2015 MAR 20,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up against railroad,,,A device was blown up against railroad 
211,2015 JUN 11,UNKNOWN,0,0,Yasynuvata,DONETSK,UKRAINE,A device was blown up against railway,,"Between ""Yasinovataya"" & ""Skotovataya"" stations","A device was blown up against railway Between ""Yasinovataya"" & ""Skotovataya"" stations"
104,2015 SEP 02,UNKNOWN,1,0,Ognevka,POLTAVA,UKRAINE_,A device was blown up causing a fire with the result of a dead man,,,A device was blown up causing a fire with the result of a dead man 
182,2015 JUL 01,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up close to a university hostel,,"Near ""Oleksiivska"" Metro Station. Two more explosions reported during night","A device was blown up close to a university hostel Near ""Oleksiivska"" Metro Station. Two more explosions reported during night"
9,2015 NOV 28,UNKNOWN,0,0,Avdotyino,DONETSK,UKRAINE,A device was blown up damaging a power substation,,,A device was blown up damaging a power substation 
77,2015 SEP 28,UNKNOWN,0,1,Kiev_,_KIEV,UKRAINE_,A device was blown up in a railway station,,"In ""Southern Vzryvpaket"" station. Suspect was detained hours later.","A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later."
249,2015 MAY 14,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up in front of Odessa College of Railway Transport,,Inside communications box Alekseevskaya Square. 400 gr TNT equivalent,A device was blown up in front of Odessa College of Railway Transport Inside communications box Alekseevskaya Square. 400 gr TNT equivalent
207,2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up,,In the crossing of Admiralsky Avenue and Krasnova Street,A device was blown up In the crossing of Admiralsky Avenue and Krasnova Street
374,2015 MAR 05,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up near a Right Sector office,,Koblevskaya Street,A device was blown up near a Right Sector office Koblevskaya Street
401,2015 JAN 25,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up,,Near Kharkiv-Balashovsky railway station,A device was blown up Near Kharkiv-Balashovsky railway station
167,2015 JUL 08,CACHE/FOUND,0,0,Popasna,LUHANSK,UKRAINE,A guy was detained when trying to lie a device in a bakery plant,,He confessed a group threated him and his family in order to do it,A guy was detained when trying to lie a device in a bakery plant He confessed a group threated him and his family in order to do it
267,2015 MAY 02,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A guy was detained while trying to blow a fortification up,,1.2 Kg of TNT plus detonators were seized,A guy was detained while trying to blow a fortification up 1.2 Kg of TNT plus detonators were seized
126,2015 AUG 17,CACHE/FOUND,0,0,Kiev_,_KIEV,UKRAINE_,A guy was detained with fuzes and detonators inside a backpack,,Vokzalnaya metro station,A guy was detained with fuzes and detonators inside a backpack Vokzalnaya metro station
444,2014 DEC 17,PROJECTED,0,0,Apostolovo,DNIPROPETROVSK,UKRAINE,A homemade grenade thrown against Apostolovo City Council,,,A homemade grenade thrown against Apostolovo City Council 
99,2015 SEP 04,PROJECTED,0,0,Rivne,RIVNE,UKRAINE,A homemade grenade was blown up in the street,,,A homemade grenade was blown up in the street 
131,2015 AUG 13,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A homemade grenade was found in the roof of a kiosk,,,A homemade grenade was found in the roof of a kiosk 
397,2015 FEB 05,PROJECTED,1,0,Ivano-Frankovsk,IVANO-FRANKIVSK,UKRAINE,A homemade grenade was thrown against a man,,,A homemade grenade was thrown against a man 
103,2015 SEP 03,PROJECTED,0,0,Zaporizhia,ZAPORIZHYE,UKRAINE,A homemade hand grenade was thrown against a business office,,,A homemade hand grenade was thrown against a business office 
216,2015 JUN 07,UNKNOWN,1,5,Mariupol,DONETSK,UKRAINE,A homemade sea mine detonated against a patrol boat,,The boat was leaving the Korabelno bay. It was reported as WBIED,A homemade sea mine detonated against a patrol boat The boat was leaving the Korabelno bay. It was reported as WBIED
381,2015 FEB 15,UNKNOWN,0,0,Zelenyi Kolodez,KHARKIV,UKRAINE,An IED was detonated against a power substation,,The station provided power to railways,An IED was detonated against a power substation The station provided power to railways
335,2015 MAR 29,UNKNOWN,0,0,Osnova,KHARKIV,UKRAINE,An IED was detonated against a railway fuel tank,,,An IED was detonated against a railway fuel tank 
7,2015 DEC 02,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated against a store in Franko Street,,,An IED was detonated against a store in Franko Street 
135,2015 AUG 06,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,"An IED was detonated against bar ""BIKINI""",,,"An IED was detonated against bar ""BIKINI"" "
27,2015 NOV 13,UNKNOWN,0,0,Zhytomir,ZHYTOMYR,UKRAINE_,An IED was detonated between Atlantic & Lviv Streets,,,An IED was detonated between Atlantic & Lviv Streets 
57,2015 OCT 17,UNKNOWN,0,0,Kiev_,_KIEV,UKRAINE_,An IED was detonated in a parking area,,,An IED was detonated in a parking area 
232,2015 MAY 28,UNKNOWN,1,1,Kiev_,_KIEV,UKRAINE_,An IED was detonated in a residential area,,Dniprovskyi district,An IED was detonated in a residential area Dniprovskyi district
422,2014 DEC 31,UNKNOWN,0,0,Mikolayiv,MIKOLAYIV,UKRAINE,An IED was detonated in front of a flat door,,Azure Street. A suspect was detained.,An IED was detonated in front of a flat door Azure Street. A suspect was detained.
334,2015 MAR 31,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,An IED was detonated under a train at Osnova station,,,An IED was detonated under a train at Osnova station 
395,2015 FEB 06,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,An IED was discovered and disposed near a Priviatbank office,,"Dnepropetrovska Doroga Street. Metal can, battery & circuit board","An IED was discovered and disposed near a Priviatbank office Dnepropetrovska Doroga Street. Metal can, battery & circuit board"
400,2015 JAN 30,CACHE/FOUND,0,0,Kiev,KIEV,UKRAINE,An IED was discovered in the archive room of an official building,,Mayor's office inside Kiev State City Administration,An IED was discovered in the archive room of an official building Mayor's office inside Kiev State City Administration
600,2014 JUL 02,UNKNOWN,0,0,TBD,KHARKIV,UKRAINE,Bridge across the Koznyi-Toretz River was blown up,,Highway Kharkov-Rostov,Bridge across the Koznyi-Toretz River was blown up Highway Kharkov-Rostov
617,2014 JUN 18,UNKNOWN,0,0,Amvrosiivka,DONETSK,UKRAINE,Bridge damaged by an explosion,,"Km. 58, road T0517 Yenakiyevo-Shakhtersk-Amvrosiivka","Bridge damaged by an explosion Km. 58, road T0517 Yenakiyevo-Shakhtersk-Amvrosiivka"
576,2014 JUL 10,UNKNOWN,0,0,Seversk,DONETSK,UKRAINE,Bridge damaged by explosion ,,,Bridge damaged by explosion  
591,2014 JUL 05 ,UNKNOWN,0,0,Gorodishche ,LUHANSK ,UKRAINE,Bridge over Bila river was damaged by an explosion,,,Bridge over Bila river was damaged by an explosion 
565,2014 JUL 21,UNKNOWN,0,0,Severodonetsk,LUHANSK ,UKRAINE,Bridge over Borova river was damaged by demolition,,Road T-13-03 between Rubizhne & Severodonetsk,Bridge over Borova river was damaged by demolition Road T-13-03 between Rubizhne & Severodonetsk
587,2014 JUL 07 ,UNKNOWN,0,0,Seleznevka,DONETSK,UKRAINE,Bridge over Kazenyi Torets' river was damaged by detonation,,"Highway M-03 (Kiev-Kharkov-Dolzhansky), Km. 675,378","Bridge over Kazenyi Torets' river was damaged by detonation Highway M-03 (Kiev-Kharkov-Dolzhansky), Km. 675,378"
596,2014 JUL 04,UNKNOWN,0,0,Trekhizbenka,LUHANSK,UKRAINE,Bridge over Seversky Donets river destroyed by an explosion.,,"Road T-03-15, conecting Luhansk-Lisichansk","Bridge over Seversky Donets river destroyed by an explosion. Road T-03-15, conecting Luhansk-Lisichansk"
586,2014 JUL 07 ,UNKNOWN,0,0,Zakotnoye,DONETSK,UKRAINE,Bridge over Seversky Donets river was blown up,,"Road T-05-13 from Artemovsk to Gorlovka, Km. 12,488","Bridge over Seversky Donets river was blown up Road T-05-13 from Artemovsk to Gorlovka, Km. 12,488"
595,2014 JUL 04 ,UNKNOWN,0,0,Luhansk ,LUHANSK,UKRAINE,Bridge over Sivers'ky Donets' was blown up ,,,Bridge over Sivers'ky Donets' was blown up  
573,2014 JUL 11,UNKNOWN,0,0,Titarovka,LUHANSK ,UKRAINE,Bridge over the Idar River was blown up,,Road P-07 Chuguev-Melovoe (via Starobelsk),Bridge over the Idar River was blown up Road P-07 Chuguev-Melovoe (via Starobelsk)
562,2014 JUL 23,UNKNOWN,0,0,Mihailovka,LUHANSK ,UKRAINE,Bridge was blown up,,Bridge between main city & Perevalska,Bridge was blown up Bridge between main city & Perevalska
558,2014 JUL 24,UNKNOWN,0,0,Gorlovka,DONETSK ,UKRAINE,Bridge was blown up,,Bridge near the Cotton Factory between Kalinin and Nikitovsky,Bridge was blown up Bridge near the Cotton Factory between Kalinin and Nikitovsky
571,2014 JUL 13,UNKNOWN,0,0,Zugres,DONETSK,UKRAINE,Bridge was blown up by separatist defending it,,Tractor was missidentified as a tank advancing during night,Bridge was blown up by separatist defending it Tractor was missidentified as a tank advancing during night
625,2014 JUN 10,UNKNOWN,0,0,Galitsynovk,DONETSK,UKRAINE,Bridge was blown up,,"Highway km 3,773","Bridge was blown up Highway km 3,773"
134,2015 AUG 12,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,Cache with explosives was found near a railway station,,Novomoskov station,Cache with explosives was found near a railway station Novomoskov station
507,2014 SEP 19,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"–Channel 5”, Central Election Commission& State Administration","Call reporting IED - First Responders action - no explosive –Channel 5”, Central Election Commission& State Administration"
450,2014 DEC 05,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,'Zmievskaya' heating power station,Call reporting IED - First Responders action - no explosive 'Zmievskaya' heating power station
295,2015 APR 21,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Darnitsa"" metro station","Call reporting IED - First Responders action - no explosive ""Darnitsa"" metro station"
479,2014 NOV 05,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Maidan Nezalezhnosty"" and ""Kreshchatik"" metro stations","Call reporting IED - First Responders action - no explosive ""Maidan Nezalezhnosty"" and ""Kreshchatik"" metro stations"
281,2015 APR 25,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Pochtovaya Ploshchad"" and ""Kontraktovaya Ploshchad"" stations","Call reporting IED - First Responders action - no explosive ""Pochtovaya Ploshchad"" and ""Kontraktovaya Ploshchad"" stations"
303,2015 APR 15,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Teatralnaya"" metro station","Call reporting IED - First Responders action - no explosive ""Teatralnaya"" metro station"
269,2015 MAY 02,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Vokzalnaya"" metro station","Call reporting IED - First Responders action - no explosive ""Vokzalnaya"" metro station"
304,2015 APR 15,HOAX/FALSE,0,0,Kiev,KIEV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Vokzalnaya"" train Station","Call reporting IED - First Responders action - no explosive ""Vokzalnaya"" train Station"
528,2014 AUG 30,HOAX/FALSE,0,0,Yalta,CRIMEA,UKRAINE,Call reporting IED - First Responders action - no explosive,,"""Yalta Intourist"" hotel, before a conference","Call reporting IED - First Responders action - no explosive ""Yalta Intourist"" hotel, before a conference"
156,2015 JUL 16,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"2 sites: Hotel ""Khrarkov"" & Migration Service office (Rymarska Street)","Call reporting IED - First Responders action - no explosive 2 sites: Hotel ""Khrarkov"" & Migration Service office (Rymarska Street)"
165,2015 JUL 09,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,4 government sites all around the city,Call reporting IED - First Responders action - no explosive 4 government sites all around the city
158,2015 JUL 15,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,5 governmental facilities,Call reporting IED - First Responders action - no explosive 5 governmental facilities
486,2014 OCT 23,HOAX/FALSE,0,0,Lviv,LVIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Administration building & supermarket,Call reporting IED - First Responders action - no explosive Administration building & supermarket
592,2014 JUL 04,HOAX/FALSE,0,0,Odessa,ODESSA,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Administrative Court building & ""Channel 5"" facilities","Call reporting IED - First Responders action - no explosive Administrative Court building & ""Channel 5"" facilities"
214,2015 JUN 09,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Against ""Derzhprom"" & ""Universytet "" metro station","Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station"
203,2015 JUN 16,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square","Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square"
222,2015 JUN 02,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square","Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square"
277,2015 APR 28,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Against ""Levada"" train station","Call reporting IED - First Responders action - no explosive Against ""Levada"" train station"
284,2015 APR 25,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,"Against ""Plant"" Club","Call reporting IED - First Responders action - no explosive Against ""Plant"" Club"
183,2015 JUL 01,HOAX/FALSE,0,0,Mikolayiv,MIKOLAYIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Against a gas pipeline. Caller was identified and detained.,Call reporting IED - First Responders action - no explosive Against a gas pipeline. Caller was identified and detained.
264,2015 MAY 05,HOAX/FALSE,0,0,Krivoy Rog,DNIPROPETROVSK,UKRAINE,Call reporting IED - First Responders action - no explosive,,Against a military dormitory. One drunk sergeant was detained as suspect,Call reporting IED - First Responders action - no explosive Against a military dormitory. One drunk sergeant was detained as suspect
238,2015 MAY 23,HOAX/FALSE,0,0,Kherson,KHERSON,UKRAINE,Call reporting IED - First Responders action - no explosive,,Against a night club in Ilyicha Street,Call reporting IED - First Responders action - no explosive Against a night club in Ilyicha Street
